club,last_name,first_name,position,base_salary,guaranteed_compensation,year,conference
Chicago Fire,Cyrus,Daneil,D,72000.0,77833.33,2015,Eastern
New England Revolution,Davies,Charlie,F,78750.0,82759.53,2015,Eastern
Houston Dynamo,Davis,Brad,M,400000.0,445500.0,2015,Western
Pool,Davis,Sean,M,80000.0,97500.0,2015,
Pool,de Jong,Marcel,D,180000.0,191500.0,2015,
Vancouver Whitecaps,Dean,Christian,D,95000.0,176000.0,2015,Western
LA Galaxy,DeLaGarza,AJ,D,200000.0,202500.0,2015,Western
DC United,DeLeon,Nick,M,116259.0,151259.0,2015,Eastern
Toronto FC,Delgado,Marco,M,80000.0,82500.0,2015,Eastern
Seattle Sounders FC,Dempsey,Clint,F,3913008.0,4605941.5,2015,Western
Houston Dynamo,Deric,Tyler,G,105000.0,112666.67,2015,Western
Pool,Dia,Amadou,D,50000.0,50000.0,2015,
FC Dallas,Diaz,Mauro,M,364000.0,442400.0,2015,Western
,Dike,Bright,F,60638.0,64388.0,2015,
New York City FC,Diskerud,Mix,M,750000.0,750000.0,2015,Eastern
Montreal Impact,Donadel,Marco,M,190003.92,226670.59,2015,Eastern
Orlando City SC,Donovan,Conor,D,80000.0,108000.0,2015,Eastern
Chicago Fire,Doody,Patrick,D,50000.0,50000.0,2015,Eastern
New England Revolution,Dorman,Andy,M,145000.0,145000.0,2015,Eastern
LA Galaxy,Dos Santos,Giovani,M,4000008.0,5750008.0,2015,Western
DC United,Doyle,Conor,F,60000.0,61250.0,2015,Eastern
Colorado Rapids,Doyle,Kevin,F,1125000.0,1170000.0,2015,Western
Montreal Impact,Drogba,Didier,F,1666668.0,2166668.0,2015,Eastern
Montreal Impact,Duka,Dilaver,M,175000.0,200000.0,2015,Eastern
LA Galaxy,Dunivant,Todd,D,185000.0,205750.0,2015,Western
Pool,Duvall,Chris,D,60000.0,60000.0,2015,
Pool,Dwyer,Dom,F,400000.0,518750.0,2015,
DC United,Dykstra,Andrew,G,60000.0,60000.0,2015,Eastern
FC Dallas,Earle,Otis,D,60000.0,77125.0,2015,Western
Vancouver Whitecaps,Earnshaw,Robert,F,100000.0,100000.0,2015,Western
Philadelphia Union,Edu,Maurice,M,700000.0,768750.0,2015,Eastern
Orlando City SC,Edwards,Earl,G,50000.0,50000.0,2015,Eastern
Pool,Ellis,Kevin,D,60000.0,63150.0,2015,
Colorado Rapids,Eloundou,Charles,F,60000.0,65000.0,2015,Western
San Jose Earthquakes,Emeghara,Innocent,F,988000.0,1300000.0,2015,Western
FC Dallas,Escobar,Rolando,M,180000.0,185000.0,2015,Western
DC United,Espindola,Fabian,F,175000.0,175000.0,2015,Eastern
Pool,Espinoza,Roger,M,750000.0,750000.0,2015,
Seattle Sounders FC,Evans,Brad,F,276665.0,302666.25,2015,Western
Philadelphia Union,Fabinho,Fabinho,D,114000.0,118500.0,2015,Eastern
New York City FC,Facey,Shay,D,120000.0,120000.0,2015,Eastern
New England Revolution,Fagundez,Diego,F,125000.0,152200.0,2015,Eastern
DC United,Farfan,Michael,M,120000.0,120000.0,2015,Eastern
New England Revolution,Farrell,Andrew,D,117500.0,198500.0,2015,Eastern
Pool,Feilhaber,Benny,M,350000.0,362187.5,2015,
Philadelphia Union,Fernandes,Leo,M,60000.0,60000.0,2015,Eastern
Chicago Fire,Fernandez,Collin,M,65000.0,67000.0,2015,Eastern
Real Salt Lake,Fernandez,Eduardo,G,60000.0,60000.0,2015,Western
Colorado Rapids,Figueroa,Maynor,D,99996.0,99996.0,2015,Western
Chicago Fire,Filho,Adailton,D,200000.0,244500.0,2015,Eastern
Toronto FC,Findley,Robbie,F,225000.0,255500.0,2015,Eastern
Columbus Crew,Finlay,Ethan,F,135000.0,142500.0,2015,Eastern
Seattle Sounders FC,Fisher,Oniel,D,50000.0,50000.0,2015,Western
Vancouver Whitecaps,Flores,Deybi,M,60000.0,60000.0,2015,Western
Portland Timbers,Fochive,George,M,50000.0,50000.0,2015,Western
Orlando City SC,Ford,Josh,G,60000.0,60000.0,2015,Eastern
San Jose Earthquakes,Francis,Shaun,D,60000.0,62940.32,2015,Western
Columbus Crew,Francis,Waylon,D,144000.0,170166.67,2015,Eastern
DC United,Franklin,Sean,D,202500.0,234166.67,2015,Eastern
Seattle Sounders FC,Frei,Stefan,G,165000.0,165000.0,2015,Western
Seattle Sounders FC,Friberg,Erik,M,180000.0,202500.0,2015,Western
Vancouver Whitecaps,Froese,Kianz,F,60000.0,64500.0,2015,Western
San Jose Earthquakes,Fucito,Michael,F,60638.0,63527.8,2015,Western
Philadelphia Union,Gaddis,Raymon,D,130000.0,132500.0,2015,Eastern
Montreal Impact,Gagnon-Lapare,Jeremy,M,60000.0,64000.0,2015,Eastern
Columbus Crew,Gall,Romain,M,60000.0,63420.08,2015,Eastern
FC Dallas,Garcia,Danny,M,70000.0,86000.0,2015,Western
Real Salt Lake,Garcia,Olmes,F,130000.0,130000.0,2015,Western
LA Galaxy,Garcia,Rafael,M,60000.0,60000.0,2015,Western
LA Galaxy,Gargan,Dan,D,125000.0,125000.0,2015,Western
Houston Dynamo,Garrido,Luis,M,150000.0,150000.0,2015,Western
Chicago Fire,Gehrig,Eric,M,95000.0,100833.33,2015,Eastern
Columbus Crew,George,Kevan,M,60000.0,60000.0,2015,Eastern
LA Galaxy,Gerrard,Steven,M,6200004.0,6332504.0,2015,Western
Real Salt Lake,Gil,Luis,M,240000.0,335083.33,2015,Western
Toronto FC,Giovinco,Sebastian,M,5600000.0,7115555.67,2015,Eastern
Real Salt Lake,Glad,Justen,D,60000.0,71000.0,2015,Western
Portland Timbers,Gleeson,Jake,G,72600.0,72600.0,2015,Western
San Jose Earthquakes,Godoy,Anibal,M,204000.0,204000.0,2015,Western
Toronto FC,Gomez,Herculez,F,240000.0,261000.0,2015,Eastern
San Jose Earthquakes,Gomez,Tomas,G,50000.0,50000.0,2015,Western
Toronto FC,Goncalves,Jackson,D,165000.0,192500.0,2015,Eastern
New England Revolution,Goncalves,Jose,D,450000.0,479375.0,2015,Eastern
FC Dallas,Gonzalez,Jesse,G,60000.0,69375.0,2015,Western
Seattle Sounders FC,Gonzalez,Leonardo,D,165000.0,165000.0,2015,Western
LA Galaxy,Gonzalez,Omar,D,1200000.0,1450000.0,2015,Western
San Jose Earthquakes,Goodson,Clarence,D,315000.0,342000.0,2015,Western
LA Galaxy,Gordon,Alan,F,175000.0,175000.0,2015,Western
New York City FC,Grabavoy,Ned,M,200000.0,215000.0,2015,Eastern
Colorado Rapids,Greenspan,Joseph,D,50000.04,50000.04,2015,Western
Pool,Grella,Mike,F,60000.0,60000.0,2015,
Toronto FC,Hagglund,Nick,D,60000.0,60000.0,2015,Eastern
Colorado Rapids,Hairston,Marlon,M,80000.0,103000.0,2015,Western
New England Revolution,Hall,Jeremy,D,70000.0,70000.0,2015,Eastern
Orlando City SC,Hall,Tally,G,215000.0,228500.0,2015,Eastern
Pool,Hallisey,Connor,M,60000.0,73750.0,2015,
DC United,Halsti,Markus,M,275000.0,336833.33,2015,Eastern
DC United,Hamid,Bill,G,360000.0,405500.0,2015,Eastern
